رقم,الاسم بالعربي,الاسم بالإنجليزي,الفئة,الأولوية,المالك المؤسسي,المستخدمون الرئيسيون,الجداول في قاعدة البيانات,المشاكل التي يحلها,الفائدة المؤسسية,الوظائف الأساسية (تفصيل كامل),الأدوار المشاركة,التكاملات مع مديولات أخرى,حالات الحواف Edge Cases,التقارير المتاحة,KPIs المستهدفة,تأثير على القرارات,نقطة البداية في دائرة الإقفال,المراحل الوسطى في دائرة الإقفال,نقطة الإغلاق النهائية,التبعيات (يعتمد على),المديولات التي تعتمد عليه,ملاحظات
11,ركن الكافيه,Cafe Corner,شغال,متوسط,موظف الكافيه,كل الموظفين,cafe_items | cafe_orders | cafe_order_items | cafe_order_status_log,صعوبة طلب مشروبات | تكلفة غير محسوبة | فوضى,طلب فوري | تكلفة محسوبة | تنظيم عمل موظف الكافيه | قيود محاسبية آلية,منيو (مشروبات وسناك وحلويات) | طلب بأي مكان | 5 حالات | إشعارات | سجل حالة | توليد قيد محاسبي,الموظفون | موظف الكافيه,الحسابات | الإشعارات,طلب ملغى | صنف نفد | كمية كبيرة,استهلاك الكافيه | الأصناف الأكثر طلبًا | تكلفة شهرية,عدد الطلبات اليومية | التكلفة الشهرية,ميزانية الكافيه | تنويع المنيو,طلب موظف,تحضير | جاهز → إشعار | تسليم | قيد محاسبي,إغلاق الطلب مع تسجيل التكلفة,المستخدمون | الفروع | الحسابات,الإشعارات,يستفيد من نفس منطق الطلبات
12,الإشعارات,Notifications,شغال,أساسي,النظام تلقائيًا,الكل,notifications,عدم إبلاغ الموظف بأحداث تخصه | تشتت الإشعارات,إبلاغ الموظف فورًا | مركز موحد | Push للموبايل,إشعارات فورية عبر Supabase Realtime | Push على PWA | مقروء/غير مقروء | روابط للصفحة المصدر | تصنيف | عداد غير مقروء | حذف/أرشفة | إعدادات,كل المستخدمين,كل مديول تقريبًا,رفض الإشعارات | كثرة الإشعارات,إشعارات كل موظف الشهرية | التصنيف الأعلى,عدد الإشعارات اليومية | نسبة القراءة | زمن الاستجابة,تحسين قنوات التواصل,حدث في أي مديول,توليد الإشعار | تسليم فوري | قراءة | اتخاذ إجراء أو تجاهل,أرشفة الإشعار,المستخدمون | Supabase Realtime,كل المديولات,مركز موحد لكل التنبيهات
13,الملف الشخصي,Employee Profile,شغال,متوسط,الموظف يدير ملفه,كل موظف يشوف ملفه,users + بيانات محسوبة,عدم مركزية بيانات الموظف,كل موظف يشوف بياناته ومهامه وأدائه في مكان واحد | متابعة الإنجاز اللحظي,بيانات شخصية | صورة | KPIs الشخصية | المهام | القرارات | الاجتماعات | نسبة الإنجاز,الموظف نفسه,المهام | الاجتماعات | القرارات | التواصل الداخلي,موظف بدون صورة | KPIs فارغة للجديد,ملف الموظف PDF,نسبة الإنجاز | المهام الحالية | مقارنة الأداء,تحفيز الموظف,فتح الملف,تحديث بيانات | رفع صورة | متابعة KPIs | مراجعة الإنجازات,تحديث دوري للبيانات,المستخدمون,-,لوحة شاملة للموظف
14,طلبات الاجتماعات,Meeting Requests,شغال,متوسط,طالب الاجتماع,الطالب + المدعو,meeting_requests,تنسيق مواعيد بين شخصين عبر مكالمات ورسائل مبعثرة,تسهيل ترتيب اجتماع 1:1 | تفاوض منظم | تحويل تلقائي لاجتماع رسمي,طلب اجتماع + سبب + موعد مقترح | رد (قبول/رفض/موعد بديل) | تفاوض عبر chat | تحويل لاجتماع رسمي,الطالب | المدعو,الاجتماعات | التواصل الداخلي | الإشعارات,رفض متكرر | اقتراح مواعيد بديلة | إلغاء الطلب,عدد الطلبات | نسبة القبول | زمن التفاوض,عدد الطلبات | نسبة القبول,تقييم استجابة الموظفين,طلب من موظف لآخر,رد المدعو | تفاوض | اتفاق | تحويل لاجتماع رسمي,انعقاد الاجتماع,المستخدمون,الاجتماعات | التواصل الداخلي,واجهة تفاوض بسيطة
15,رؤية الشركة والأهداف,Vision & Goals,شغال,استراتيجي,الإدارة العليا,الكل يرى القيادات تعدل,company_vision | department_goals,عدم وضوح رؤية الشركة | أهداف غير محددة | صعوبة قياس التقدم,توضيح الرؤية | تفكيك لأهداف أقسام | متابعة تقدم | Alignment استراتيجي | ثقافة أهداف,نص رؤية الشركة | أهداف كل قسم بنسبة إنجاز | خطط قسمية | ربط بالمهام والقرارات,الإدارة العليا | مدراء الأقسام,المهام والقرارات | التقارير,تعديل جذري للرؤية | أهداف طويلة (سنوات) | أهداف متعددة السنوات,تقدم الأهداف | تحقيق الرؤية,نسبة تحقيق الأهداف | التقدم الاستراتيجي,مراجعة الاستراتيجية سنويًا | أولويات الميزانية,كتابة رؤية جديدة أو تحديثها,تفكيك أهداف الأقسام | متابعة دورية | Check-ins ربع سنوية | تعديل الأهداف,تحقيق الأهداف السنوية | مراجعة | تحديث الرؤية للسنة الجاية,المستخدمون,المهام | القرارات | التقارير,أساس Alignment الاستراتيجي
16,البحث الصوتي والأوامر,Voice Search & Commands,شغال,عالي (تجربة مستخدم),كل موظف,كل الموظفين على الموبايل,VOICE_COMMANDS constant + browser SpeechRecognition API,صعوبة الكتابة على الموبايل | بطء تنفيذ الأوامر المتكررة | حاجة لتفاعل سريع,تفاعل بلا كتابة | تنفيذ أوامر شائعة بسرعة | فهم لهجات متعددة | اقتراحات ذكية,أوامر مدعومة بلهجات (فصحى مصري سعودي يمني) | 60+ عبارة | fuzzy matching | شيت (يمكن تقصد) | أوامر: أرسل رسالة أسند مهمة اعرض اجتماعات افتح تقرير | إصلاحات PWA أندرويد,كل الموظفين,التواصل الداخلي | المهام | الاجتماعات | التقارير,انقطاع النت | فشل التعرف | لهجة غير معتادة | ضوضاء | مايك معطل,-,نسبة نجاح الأوامر | الأوامر الأكثر استخدامًا,تحسين تجربة المستخدم,ضغط زر المايك,تسجيل الصوت | مطابقة أمر | لو أمر واضح → تنفيذ فوري | لو غامض → شيت اقتراحات | لو مفيش اقتراحات → بحث عادي,تنفيذ الأمر أو فتح الشاشة,المستخدمون | متصفح يدعم SpeechRecognition,-,يحتاج Chrome/Edge حديث
17,تحسين الصياغة بالذكاء الاصطناعي,AI Message Rewrite,شغال (مقيد بحصة),عالي,أي موظف يرسل رسائل,كل موظفي التواصل الداخلي,api/rewrite.js (Vercel) + Gemini API,رسائل بصياغة ضعيفة | أخطاء إملائية | تفاوت في الاحترافية,تحسين الرسائل قبل الإرسال | صياغة مهنية | 3 أنماط | حماية سمعة,Gemini عبر Vercel | 3 أنماط (رسمي ودود افتراضي) | المفتاح مخفي في env vars | يعمل في الشات والصوت | fallback على موديلات متعددة,كل الموظفين,التواصل الداخلي | البحث الصوتي,انقطاع Gemini | استهلاك الحصة | نص طويل | لهجة غير معتادة,-,عدد الاستخدامات | النمط الأكثر استخدامًا,تحسين تواصل مؤسسي,كتابة رسالة,ضغط زر AI | إرسال للـ Gemini | استلام النص المحسّن | مراجعة | إرسال,إرسال الرسالة المُحسَّنة,المستخدمون | Vercel | Gemini API,التواصل الداخلي,حاليًا مقيد بحصة (يحل بتفعيل الفوترة)
18,الموارد البشرية HR,Human Resources,معاينة (test_admin فقط),استراتيجي,hr_manager + payroll_officer,HR + المدراء + الموظفون,hr_employee_profile | hr_departments | hr_positions | hr_attendance | hr_leave_types | hr_leaves | hr_payroll | hr_payroll_items,ملفات متفرقة (Excel ورق بريد) | عدم تتبع الوثائق | حساب الحضور يدوي | إجازات على ورق | الرواتب في Excel | عدم ربط بالحسابات | صعوبة إحصاء تكلفة العمالة,ملف موحد للموظف | تنبيهات استباقية للوثائق (90/60/30/7 يوم) | حضور دقيق بمحرك | إجازات بأرصدة تراكمية | رواتب بمحرك موثوق يولد قيود GL | تحليلات (Headcount Turnover Cost),ملف الموظف الشامل (بيانات وظيفية شخصية مالية طوارئ مهارات) | الهيكل التنظيمي | الحضور اليومي بسجلات خام ومحرك | الإجازات بأنواع مخصصة وأرصدة تراكمية | مسار موافقات للإجازات | بدائل | محرك رواتب بعناصر بتاريخ سريان | توليد مسير شهري | قسائم راتب | قيود GL آلية | ملف SIF للبنك | تنبيهات وثائق,hr_manager | payroll_officer | المدراء المباشرون | الموظفون | finance_manager,الحسابات (قيود الرواتب) | الفروع | المستخدمون | الإشعارات,موظف اتوظف منتصف الشهر | ترقية أثناء الشهر | إجازة مرضية طويلة | سلفة بأقساط | موظف بعقد مؤقت,Headcount بالفرع/القسم | Turnover Rate | متوسط الراتب | تكلفة العمالة/الإيرادات | ساعات إضافية | معدل الغياب | الوثائق المنتهية | نسبة الإجازات المستهلكة | ملف رواتب شهري,Headcount | Turnover | متوسط الراتب | تكلفة العمالة | ساعات إضافية | معدل الغياب | الوثائق القاربة | نسبة الإجازات,قرارات التوظيف والفصل | تخطيط الرواتب | ميزانية HR | امتثال قانوني | تقييم الأداء,استقطاب وتوظيف موظف جديد,توظيف رسمي بعقد | ملف كامل | استلام الوثائق | Onboarding | تشغيل يومي (حضور إجازات ساعات إضافية) | رواتب شهرية (توليد مراجعة اعتماد قسائم تحويل قيود) | تقييم دوري | متابعة قانونية (تنبيهات وتجديدات) | حالات استثنائية,إنهاء الخدمة | تسوية إجازات ورواتب | مقابلة خروج | مخالصة نهائية بمكافأة نهاية خدمة | قيد محاسبي | تعطيل الحساب | الملف للأرشيف القانوني 7+ سنوات,المستخدمون | الفروع | الأقسام,الحسابات | التقارير | المساعد الذكي,يستفيد من is_hr_admin() و is_payroll_authorized()
19,الحسابات والمالية,Financial Accounting,معاينة (test_admin فقط),استراتيجي,finance_manager + gl_accountant + ap_officer + ar_officer,المحاسبون والمالية والإدارة,acct_chart_of_accounts | acct_cost_centers | acct_fiscal_years | acct_periods | acct_journal_entries | acct_journal_lines | acct_vendors | acct_purchase_orders | acct_bills | acct_payments | acct_customers | acct_invoices | acct_receipts | acct_bank_accounts | acct_bank_transactions | acct_petty_cash | acct_expense_claims | acct_fixed_assets | acct_inventory_items | acct_vat_returns | acct_budgets | acct_settings,محاسبة على Excel منفصلة | عدم ربط بالتشغيل | قيود يدوية بأخطاء | عدم الامتثال لـ ZATCA | تقارير بطيئة | صعوبة الإقفال السنوي,دورة محاسبية متكاملة | قيود آلية من كل حدث تشغيلي | امتثال ZATCA | تقارير مالية لحظية | إقفال منظم | فرض توازن مدين ودائن,دليل الحسابات 65 حساب هرمي 5 مستويات | مراكز التكلفة الهرمية | سنوات وفترات مالية بحالات | قيود يومية بمحرك توازن مزدوج صارم | قيود مسودة → مرحل (لا تعديل بعد الترحيل) | دورة AP كاملة (موردون POs فواتير مدفوعات) بموافقة مزدوجة | دورة AR كاملة (عملاء فواتير مقبوضات) مع QR ZATCA Phase 1 | حسابات بنكية بحساب فرعي تلقائي | حركات بنكية وتسويات | عهد نقدية | مصروفات موظفين بمسار موافقة | أصول ثابتة بإهلاك سنوي تلقائي | مخزون بحركات وقيود آلية | إقرارات VAT ربع سنوية | تقارير (ميزان قائمة دخل مركز مالي تدفقات نقدية) | موازنات | إقفال سنوي,finance_manager | gl_accountant | ap_officer | ar_officer | المحاسبون | الإدارة,HR (قيود الرواتب) | التشغيل (طلبات → قيود بيع) | الكافيه | المدفوعات | الصيانة | الأصول الثابتة | المخزون,قيد يعبر فترتين | إعادة تصنيف حساب | إقفال سنوي معقد | عملات أجنبية (لا يدعم) | فاتورة مرفوضة من ZATCA,ميزان المراجعة | قائمة الدخل | المركز المالي | التدفقات النقدية | الموازنات مقابل الفعلي | تقارير الفروع والأقسام,الإيرادات (بالفرع والقناة) | التكاليف | هامش الربح | التدفق النقدي | أعمار الذمم | نسبة الفواتير المرفوضة | فروقات الإقفال البنكي,قرارات مالية استراتيجية | تسعير | استثمار | ديون | ميزانية سنوية,كل حدث تشغيلي,كل يوم: قيود مسودة تلقائية → مراجعة → ترحيل | كل أسبوع: مراجعة القيود وتسوية بنكية | كل شهر: تسويات وحساب الإهلاك وإقفال الفترة | كل ربع: إقرار VAT ومراجعة الموازنات,إقفال سنوي بتصفير الإيرادات والمصروفات لحقوق الملكية | قيد إقفال متوازن | تقارير سنوية | تحضير للتدقيق الخارجي | السنة مقفلة | الأرشيف الدائم,المستخدمون | الفروع | HR | التشغيل | المدفوعات,كل مديول تقريبًا (قيود تخرج من كل مكان),يستفيد من is_finance_manager() is_accounting_role() | ZATCA Phase 1 مكتمل | Phase 2 لاحقًا
20,تشغيل المطاعم,Restaurant Operations,معاينة (test_admin فقط),استراتيجي,operations_manager + branch_manager,مدراء الفروع + الموظفون,ops_shift_templates | ops_shifts | ops_shift_handovers | ops_station_assignments | ops_daily_checklists | ops_checklist_items | ops_prep_plans | ops_prep_plan_items | ops_orders | ops_order_items | ops_branch_inventory_levels | ops_stock_transfers | ops_waste_records | ops_issues | ops_issue_escalations | ops_settings,ورديات فوضى وتسليم شفهي | عدم متابعة القوائم | طلبات على Excel | مخزون فرعي غير محسوب | هدر بلا رقابة | مشكلات تُنسى,كل يوم موثق (فتح ورديات إغلاق) | طلبات بترقيم آلي وقيود | مخزون منفصل لكل فرع | هدر مسجل بتكلفة | مشكلات مصعّدة كمهام | مركز موحد لحالة الفروع,قوالب ورديات (صباحي مسائي ليلي) | ورديات فعلية بـ 4 حالات | توزيع الموظفين على المحطات مع فحص الحضور | تسليم/استلام بنقد ومهام معلقة | قوائم فتح وإغلاق يومية | خطط تحضير المواد | طلبات المطعم بأنواع وترقيم آلي | قيد محاسبي عند اكتمال الطلب | مخزون فرعي مستقل | نقل بين الفروع | تنبيهات نقص | تسجيل الهدر بأنواع وقيود محاسبية | تسجيل المشكلات وتصعيدها لمهمة,operations_manager | branch_manager | deputy_manager | employee,الحسابات (قيود الطلبات والهدر) | HR (فحص الحضور) | الفروع | الجودة | الصيانة | المهام | المدفوعات,وردية بدون تسليم رسمي | موظف غائب معيَّن | طلب ملغى | هدر كبير غير طبيعي | نقص مخزون مفاجئ | مشكلة متكررة,تقرير يومي للفرع | تقرير الوردية | تقرير الهدر | تقرير الطلبات بالقناة | تقرير المخزون الفرعي | تقرير نقل المخزون | تقرير المشكلات | لوحة موحدة,عدد الطلبات يوميًا | متوسط قيمة الطلب | نسبة الهدر | كفاءة الوردية | المخزون تحت الحد الأدنى | المشكلات المفتوحة | زمن إغلاق المشكلة,قرارات تشغيلية يومية | توزيع الموظفين | إدارة المخزون | تحسين العمليات | تقييم الفروع,فتح الفرع صباحًا وقائمة الفتح,توزيع الوردية (مع فحص الحضور) | تشغيل الوردية (طلبات تحضير تسليم قيود مخزون) | تسليم الوردية | قوائم الفتح والإغلاق | تسجيل الهدر لحظيًا | تسجيل المشكلات وتصعيدها | تحديث المخزون | نقل بين الفروع,إغلاق آخر وردية | قائمة الإغلاق | تقرير يومي كامل | مقاصة يومية | الفرع جاهز للغد,المستخدمون | الفروع | HR | الحسابات | المدفوعات | المخزون العام,الحسابات (قيود) | التقارير | المساعد الذكي | المدفوعات,يستفيد من is_ops_manager() و can_access_branch_ops() | ops_orders يمكن ربطها بشركاء التوصيل
21,المدفوعات والمقاصات والتسويات,Payments & Reconciliation & Settlements,معاينة (test_admin فقط),استراتيجي,finance_manager,المالية + المحاسبون,pay_partners | pay_partner_contracts | pay_statements | pay_statement_lines | pay_clearing_batches | pay_clearing_items | pay_payouts,مين استلم فلوس العميل غير واضح | عمولات محسوبة يدويًا | كشوف على Excel | تحويلات بدون توثيق | صعوبة معرفة الصافي,شريك مسجل مع عقد | كل طلب يحدد من استلم المبلغ | كشوف تُستورد وتُطابق تلقائيًا | مقاصة دورية بصافي واضح | تحويلات مرتبطة بقيود محاسبية,شركاء ماليون بأنواع (منصة توصيل بوابة دفع مالك مطعم مُدار) | بيانات قانونية وبنكية | عقود بإصدارات وتاريخ سريان | محرك عمولات (نسبة ثابت مركب حد أدنى) | محاكي حي بشرح خطوة بخطوة | كشوف بالاستيراد (CSV أو يدوي) | مطابقة على مرحلتين (مرجع الطلب ثم مبلغ+تاريخ) بسماحية 0.05 ر.س | حوكمة الاعتماد | مقاصة بصافي موقّع (لنا/علينا) | تسويات يدوية | تحويلات بإثبات بنكي | قيد محاسبي مسودة تلقائي,finance_manager | ap_officer | ar_officer,الحسابات (قيود مسودة) | التشغيل (funds_holder) | الفروع | المساعد الذكي,كشف بعملة أجنبية | فرق مبلغ كبير | كشف مكرر | تحويل بنكي مرفوض | شريك بعقد منتهي,تقرير الشركاء | كشوف الشركاء | فروقات المطابقة | صافي المستحقات | تحويلات الشهر | تحليل العمولات,صافي المستحق لكل شريك | نسبة الكشوف المطابقة | زمن التسوية | تكلفة العمولات | فروقات الكشف,قرارات الشراكة | إعادة تفاوض العقود | اختيار الشركاء الأربح | تحديد قنوات البيع,إعداد الشريك والعقد وتفعيله,ربط الطلبات بالشريك و funds_holder | الشريك يرسل كشف | استيراد | تشغيل المطابقة | معالجة الفروقات | اعتماد الكشف | دفعة مقاصة فترية | حساب صافي موقّع | اعتماد المالية,تسجيل التحويل البنكي بمرجع وإثبات | قيد محاسبي مسودة | مراجعة المحاسب | ترحيل | إغلاق الدفعة | كل بند مؤرشف,المستخدمون | الفروع | التشغيل (ops_orders) | الحسابات,الحسابات | المساعد الذكي,يستفيد من is_finance_manager() | يعيش تحت قسم الحسابات
22,المساعد الذكي,AI Assistant Phase 1 Read-Only,معاينة (test_admin فقط),استراتيجي,admin + company_manager (للإعدادات),كل الموظفين المعتمدين,ai_settings | ai_sessions | ai_session_messages | ai_audit_log + api/agent.js,الإدارة تدور في dashboards متفرقة | تأخر اكتشاف المشاكل | عدم القدرة على سؤال طبيعي | صعوبة الحصول على تقرير مخصص,موظف رقمي يجيب بلغة طبيعية | تحليل لحظي عبر الأقسام | كشف مشاكل بأسئلة بسيطة | توفير وقت الإدارة | القاعدة الذهبية (RLS مطبَّق دائمًا),7 أدوات قراءة (المهام المتأخرة حالة الفروع الوثائق القاربة الملخص المالي آخر القرارات الصيانة المفتوحة تسويات الشركاء) | Gemini function calling عبر Vercel | تعليمات نظام صارمة | حماية prompt injection | fallback على 3 موديلات | جلسات محفوظة | سجل تدقيق كامل لا يُحذف | شاشة إعدادات للإدارة (تشغيل/إيقاف حد يومي اسم تعليمات),الإدارة العليا (الإعدادات) | كل موظف (الاستخدام) | المطورون (لإضافة أدوات),كل المديولات (الأدوات تقرأ) | Gemini API | Vercel,انقطاع Gemini | استهلاك الحصة | سؤال خارج نطاق الأدوات | prompt injection | لغة غير عربية | نصوص طويلة,عدد الأسئلة اليومية | الأدوات الأكثر استخدامًا | نسبة الإجابات الناجحة | سجل التدقيق,عدد الأسئلة المُجابة | الأدوات المستخدمة | رضا المستخدمين | استهلاك الحصة,مساعد الإدارة في اتخاذ قرارات سريعة | كشف مبكر للمشاكل | إجابات فورية,فتح المستخدم للمحادثة,طرح سؤال طبيعي | النموذج يقرر الأدوات | استدعاء الأدوات من المتصفح بصلاحيات المستخدم (RLS) | جلب البيانات | تحليل وإجابة | عرض للمستخدم مع مصادر chips,تسجيل في سجل التدقيق | الجلسة تُحفظ للأرشيف | المستخدم يتخذ قرار بنفسه,المستخدمون | Vercel | Gemini | كل المديولات,الإدارة | التقارير | التحليلات,يعيش تحت canAccessModule(ai_agents) | حاليًا مقيد بحصة Gemini
23,نقاط البيع POS,Point of Sale,مقترح,🔴 حرجة,كل كاشير في كل فرع,الكاشيرات + مدراء الفروع,pos_sessions | pos_terminals | pos_transactions | pos_payment_splits | pos_receipts | pos_cash_deposits,الفروع تستخدم POS خارجي منفصل | عدم ربط المبيعات بالمخزون لحظيًا | فروقات النقد بلا رقابة | عدم تحليل المبيعات بأبعاد | ازدواج بيانات,شاشة كاشير سريعة تعمل offline | كل بيع → خصم مخزون + قيد محاسبي فوري | إغلاق صندوق دقيق | تقارير لحظية | بيانات لكل قناة/فرع/كاشير | امتثال ZATCA,شاشة كاشير لمس مع أزرار سريعة | بحث بالاسم أو الرمز | مكونات إضافية (extras) | ملاحظات | خصومات بصلاحية | إلغاء بصلاحية | إتمام البيع (وسيلة الدفع) | دفع مختلط (نقد+شبكة+محفظة) | طباعة إيصال + QR ZATCA | إشعار المطبخ (KDS) | إغلاق الوردية (جرد الصندوق مقارنة توثيق الفروقات) | اعتماد المدير | إيداع النقد | المرتجعات بصلاحية,الكاشيرات | مدير الفرع | المالية,المنيو والوصفات (كل بيع = خصم مكونات) | المخزون الفرعي | الحسابات (قيود) | الطلبات | CRM (ربط بعميل) | الولاء,انقطاع الإنترنت (offline) | انقطاع كهرباء (استئناف) | خطأ طباعة | عميل يغير رأيه | خصم بمبرر | مضاعفة طلب بالخطأ,مبيعات اليوم بالكاشير | مبيعات الفرع الشهرية | توزيع وسائل الدفع | الأصناف الأكثر مبيعًا | ساعات الذروة | فروقات النقد | تقييم الكاشيرات,المبيعات لحظية | متوسط قيمة الطلب AOV | عدد الطلبات في الساعة | توزيع وسائل الدفع | فروقات النقد | أداء الكاشيرات | سرعة الخدمة,قرارات تسعير مباشرة | تحسين طوابير الذروة | كشف الغش والخصومات غير المصرحة,بداية اليوم (فتح الجلسة بالرصيد الافتتاحي),استقبال الطلبات وإضافة الأصناف | تطبيق الخصومات | إتمام الدفع | طباعة إيصال + ZATCA | إشعار المطبخ | تسليم الطعام | تكرار للطلبات | تحديث لحظي للتقارير,نهاية الوردية (عد النقد ومقارنة توثيق الفروقات) | اعتماد المدير | إيداع النقد | تحديث القيود | الجلسة مقفلة (لا تعديل),المنيو والوصفات (مطلوب أولًا) | المخزون الفرعي | الحسابات | الفروع,الحسابات (قيود المبيعات) | المخزون | CRM | الولاء | التقارير | BI,لم يُبنى بعد | يجب أن يعمل offline | يحتاج تكامل مع طابعة إيصالات وأجهزة POS
24,المنيو والوصفات,Menu & Recipes (BOM),مقترح,🔴 حرجة,الشيف التنفيذي + مدير التشغيل,مدراء المنيو + POS تلقائيًا,menu_categories | menu_items | menu_item_variants | menu_item_recipes | menu_options | menu_option_groups | menu_pricing_channels,منيو على Excel متعدد النسخ | عدم معرفة تكلفة الصنف | هامش ربح مجهول | بيع صنف بدون معرفة نفاد مكوناته | أسعار مختلفة للقنوات غير موحدة,كل صنف له وصفة (BOM) | تكلفة الصنف محسوبة تلقائيًا | هامش الربح لحظي | منع بيع صنف مكوناته نفدت | أسعار مختلفة للقنوات | تحكم مركزي,فئات (أساسية قابلة للترتيب ظهور/إخفاء) | أصناف (اسم عربي وإنجليزي وصف صورة سعر فئة SKU) | إصدارات (مقاسات ألوان أسعار) | وصفات (كل مكون: صنف مخزون + كمية) | تكلفة تلقائية | خيارات إضافية (توابل إضافات بدون) بأسعار إضافية أو مجانية إجباري/اختياري | تسعير بالقناة (dine-in takeaway delivery) | إخفاء صنف إذا مكون نفد | ترتيب الأصناف | منيو رقمي بـ QR للطاولات | تسعير بربح مستهدف,الشيف التنفيذي | مدير التشغيل | POS | المخزون,POS (يقرأ) | المخزون (يخصم عند البيع) | CRM (تفضيلات) | الطلبات,صنف موسمي | صنف بمكون بديل | صنف بعمالة عالية | عرض خاص بسعر مؤقت | صنف مركب,هامش الربح لكل صنف | الأصناف الأعلى/الأقل ربحية | تكلفة الوجبة | الأصناف الأكثر مبيعًا | الأصناف الجديدة,هامش الربح | الأصناف الأعلى/الأقل | تكلفة الصنف | الأصناف الأكثر مبيعًا,قرارات تسعير | إضافة/إزالة أصناف | تعديل الوصفات لتقليل التكلفة,تصميم الصنف من الشيف,إدخال المكونات والوصفة | التكلفة تُحسب تلقائيًا | هامش ربح مستهدف | النظام يقترح السعر | اعتماد الإدارة | الإطلاق في POS والتطبيق | البيع | تحليل هامش الربح الفعلي | ملاحظات العملاء | التحسين,إيقاف الصنف (soft delete) | البيانات التاريخية تبقى,المخزون | POS,POS | المخزون | CRM | التقارير,لم يُبنى بعد | مرتبط بـ POS
25,إدارة العملاء والولاء CRM,Customer Management & Loyalty,مقترح,🔴 حرجة (يزيد الإيرادات),مدير التسويق + خدمة العملاء,فريق التسويق + خدمة العملاء + العملاء,crm_customers | crm_customer_addresses | crm_customer_preferences | loyalty_accounts | loyalty_transactions | loyalty_rewards | crm_campaigns | crm_complaints,لا نعرف عملاءنا | لا نستهدف بحملات | لا نكافئ الولاء | شكاوى تُنسى | لا نعرف التفضيلات والحساسيات,قاعدة عملاء موحدة | تاريخ كل عميل | برنامج نقاط ومكافآت | حملات موجَّهة | كشف الخاملين | إدارة الشكاوى | زيادة الاحتفاظ والعائد,بيانات العميل (اسم جوال بريد ميلاد جنس عناوين تفضيلات حساسيات ملاحظات) | تاريخ الطلبات (الأصناف المفضلة متوسط الإنفاق آخر طلب) | برنامج ولاء (نقاط بكل بيع 1 ريال = نقطة استبدال بمكافآت مستويات Bronze Silver Gold Platinum امتيازات) | شرائح (VIP عادي خامل جديد) بتصنيف تلقائي | حملات (اسم فترة شريحة عرض قناة SMS/WhatsApp/Push) | قياس أداء | إدارة الشكاوى (تسجيل تصنيف مسؤول SLA حل تعويض رد رضا),مدير التسويق | خدمة العملاء | العملاء | POS,POS | تطبيق العميل | المنيو | الطلبات | التكاملات الخارجية,عميل بجوالين | عميل حذف حسابه (GDPR) | نقاط منتهية | عميل بحساسية طعام (تنبيه المطبخ) | شكوى متكررة | حملة بميزانية مستنفدة,عدد العملاء المسجلين | عملاء متكررون | متوسط تكرار الطلب | CLV | معدل الاحتفاظ | استجابة الحملات | تحليل الشكاوى,عدد العملاء | عملاء متكررون | متوسط تكرار الطلب | CLV | معدل الاحتفاظ | استجابة الحملات,قرارات تسويقية | تسعير | تخصيص العروض | تحسين الخدمة,أول طلب من عميل جديد (تسجيل تلقائي),تراكم البيانات | منح نقاط ترحيبية | تحديث المستوى | التفاعل (استبدال نقاط تلقي حملات شكوى) | التصنيف التلقائي | الحملات الموجَّهة (عرض للخاملين شكر لـ VIP ترقية للجدد) | قياس أثر الحملات,استبعاد بعد فترة طويلة بدون تفاعل (12+ شهر) | البيانات تُؤرشف | قابلة للاسترجاع,POS | المنيو | المستخدمون | التكاملات,POS | التقارير | BI | مركز الاتصال,لم يُبنى بعد | يفتح باب لتطبيق عميل مستقل
